,host,time,http,URL,version,status,bytes
135,ix-har5-20.ix.netcom.com,01/Jul/1995:12:25:25-0400,GET,/shuttle/missions/sts-XX/sts-XX-press-kit.txt,HTTP/1.0,404,-
136,ix-har5-20.ix.netcom.com,01/Jul/1995:12:25:31-0400,GET,/shuttle/missions/sts-XX/sts-XX-info.html,HTTP/1.0,404,-
137,dd05-024.compuserve.com,01/Jul/1995:12:46:44-0400,GET,/shuttle/missions/sts-71/image/index71.gif,HTTP/1.0,404,-
138,dd05-024.compuserve.com,01/Jul/1995:12:47:03-0400,GET,/shuttle/missions/sts-71/image/,HTTP/1.0,404,-
139,crc3.cris.com,01/Jul/1995:12:51:01-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
140,dawn14.cs.berkeley.edu,01/Jul/1995:12:51:27-0400,GET,/shuttle/missions/sts-79/mission-sts-79.html,HTTP/1.0,404,-
141,ppp439.st.rim.or.jp,01/Jul/1995:12:58:50-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
142,halifax-ts4-02.nstn.ca,01/Jul/1995:13:03:36-0400,GET,/history.html,HTTP/1.0,404,-
143,hosts-143.hiwaay.net,01/Jul/1995:13:06:18-0400,GET,/history/apollo/-apollo-13/apollo-13.html,HTTP/1.0,404,-
144,ix-sf6-07.ix.netcom.com,01/Jul/1995:13:07:00-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
145,ix-sf6-07.ix.netcom.com,01/Jul/1995:13:07:06-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
146,198.53.159.197,01/Jul/1995:13:07:37-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
147,198.53.159.197,01/Jul/1995:13:07:50-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
148,allegro1.culture.mipt.ru,01/Jul/1995:13:14:33-0400,GET,/shuttle/resources/orbiters/discovery.gif,HTTP/1.0,404,-
149,199.78.144.37,01/Jul/1995:13:16:59-0400,GET,/history.history.hrml,HTTP/1.0,404,-
150,ad11-016.compuserve.com,01/Jul/1995:13:17:16-0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,HTTP/1.0,404,-
151,199.78.144.37,01/Jul/1995:13:17:19-0400,GET,/history/history.hrml,HTTP/1.0,404,-
152,digcom.tcp.co.uk,01/Jul/1995:13:36:29-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
153,128.252.230.210,01/Jul/1995:13:36:50-0400,GET,/mdss/ped/acs/MDSS.html,HTTP/1.0,404,-
154,alyssa.prodigy.com,01/Jul/1995:13:43:05-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
155,dawn14.cs.berkeley.edu,01/Jul/1995:14:00:32-0400,GET,/payloads/systems.html,HTTP/1.0,404,-
156,nozean.geo.umass.edu,01/Jul/1995:14:04:07-0400,GET,/://spacelink.msfc.nasa.gov,HTTP/1.0,404,-
157,corp-uu.infoseek.com,01/Jul/1995:14:25:25-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
158,arena.carleton.ca,01/Jul/1995:14:27:43-0400,GET,/history/apollo/sa-2/docs/,HTTP/1.0,404,-
159,ppp195.st.rim.or.jp,01/Jul/1995:14:28:08-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
160,net-1-109.eden.com,01/Jul/1995:14:32:58-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
161,dawn14.cs.berkeley.edu,01/Jul/1995:14:34:16-0400,GET,/de/systems.html,HTTP/1.0,404,-
162,ip206.pom.primenet.com,01/Jul/1995:14:35:52-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
163,dawn14.cs.berkeley.edu,01/Jul/1995:14:39:38-0400,GET,:/facilities/tour.html,HTTP/1.0,404,-
164,rhosoda.pbtsc.panasonic.com,01/Jul/1995:14:41:41-0400,GET,/ksc.htm1,HTTP/1.0,404,-
165,dslip06.itek.net,01/Jul/1995:14:41:46-0400,GET,/ksc/,HTTP/1.0,404,-
166,dslip06.itek.net,01/Jul/1995:14:41:55-0400,GET,/puc/ksc,HTTP/1.0,404,-
167,rhosoda.pbtsc.panasonic.com,01/Jul/1995:14:42:21-0400,GET,/ksc.htm1,HTTP/1.0,404,-
